ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,1_Relevant_2,Action1-PentaClass_2,Action1_CAMEO_2,Action2-PentaClass_2,Action2_CAMEO_2,Action3-PentaClass_2,Action3_CAMEO_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3-PentaClass_3,Action3_CAMEO_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
aOiIttcBXS9fo9X75l2uUASq0jiK-cameo_100.csv_68,"No. 23 sentences In a long-awaited speech on his new Afghan strategy, US President Barack Obama said he would send an additional 30,000 troops to Afghanistan in the coming months.",No. 23 ,"In a long-awaited speech on his new Afghan strategy, US President Barack Obama said he would send an additional 30,000 troops to Afghanistan in the coming months.",True,"[('Source-1', 'Barack Obama', 66), ('Action-1', 'said', 79), ('Action-2', 'send an additional 30,000 troops', 93), ('Target-1', 'Afghanistan', 129)]","[[('Action-1', 'said'), ('Source-1', 'Barack Obama')], [('Action-2', 'send an additional 30,000 troops'), ('Source-1', 'Barack Obama')], [('Target-1', 'Afghanistan'), ('Action-2', 'send an additional 30,000 troops')]]",True,0-Make a Statement,0-1 Make Public Statement,1-Verbal Cooperation,1-3 Express Intent to Coop,,,True,"[('Source-1', 'Barack Obama', 66), ('Action-1', 'said', 79), ('Action-1', 'send an additional 30,000 troops', 93), ('Target-1', 'Afghanistan', 129)]","[[('Source-1', 'Barack Obama'), ('Action-1', 'said')], [('Action-1', 'send an additional 30,000 troops'), ('Source-1', 'Barack Obama')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,"[('Source-1', 'his', 28), ('Source-1', 'US President Barack Obama', 53), ('Action-1', 'said he would send an additional 30,000 troops to Afghanistan in the coming months', 79), ('Source-1', 'he', 84)]","[[('Source-1', 'his'), ('Action-1', 'said he would send an additional 30,000 troops to Afghanistan in the coming months')], [('Source-1', 'US President Barack Obama'), ('Action-1', 'said he would send an additional 30,000 troops to Afghanistan in the coming months')], [('Source-1', 'he'), ('Action-1', 'said he would send an additional 30,000 troops to Afghanistan in the coming months')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,False,[],[],,,,,,True,"[('Source-1', 'US President Barack Obama', 53), ('Action-1', 'said', 79), ('Action-2', 'send', 93), ('Target-2', 'Afghanistan', 129), ('Time', 'in the coming months', 141)]","[[('Source-1', 'US President Barack Obama'), ('Action-1', 'said')], [('Action-2', 'send'), ('Target-2', 'Afghanistan')], [('Source-1', 'US President Barack Obama'), ('Action-2', 'send')]]",True,0-Make a Statement,0-1 Make Public Statement,1-Verbal Cooperation,1-3 Express Intent to Coop,,,,
aZiKEav2PCt08zoI.VKp71MJmAhm-cameo_100.csv_69,No. 65 sentences A corruption scandal has shaken Venezuela's financial system and triggered the arrest of tycoons who are linked to President Hugo Chavez's government.,No. 65 ,A corruption scandal has shaken Venezuela's financial system and triggered the arrest of tycoons who are linked to President Hugo Chavez's government.,True,"[('Source-1', 'corruption scandal', 2), ('Action-1', 'shaken', 25), ('Target-1', ""Venezuela's financial system"", 32), ('Location', 'Venezuela', 32), ('Action-2', 'triggered the arrest of tycoons', 65), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government"", 89)]","[[('Action-1', 'shaken'), ('Target-1', ""Venezuela's financial system"")], [('Source-1', 'corruption scandal'), ('Action-2', 'triggered the arrest of tycoons')]]",True,3-Verbal Conflict,3-13 Threaten,4-Material Conflict,,,,True,"[('Source-1', 'corruption scandal', 2), ('Action-1', 'shaken', 25), ('Target-1', ""Venezuela's financial system"", 32), ('Location', ""Venezuela's"", 32), ('Action-2', 'triggered', 65), ('Action-2', 'arrest', 79), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government"", 89)]","[[('Source-1', 'corruption scandal'), ('Action-1', 'shaken')], [('Action-2', 'arrest'), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government"")], [('Action-1', 'shaken'), ('Target-2', ""tycoons who are linked to President Hugo Chavez's government"")], [('Action-2', 'triggered'), ('Target-1', ""Venezuela's financial system"")]]",True,4-Material Conflict,,4-Material Conflict,4-17 Coerce,,,True,"[('Source-1', 'corruption scandal', 2), ('Location', 'Venezuela', 32), ('Action-1', 'triggered the arrest', 65), ('Target-1', ""tycoons who are linked to President Hugo Chavez's government"", 89)]","[[('Source-1', 'corruption scandal'), ('Action-1', 'triggered the arrest')], [('Action-1', 'triggered the arrest'), ('Target-1', ""tycoons who are linked to President Hugo Chavez's government"")]]",True,4-Material Conflict,4-17 Coerce,,,,,False,[],[],,,,,,True,"[('Action-1', 'arrest', 79), ('Target-1', 'tycoons', 89)]","[[('Action-1', 'arrest'), ('Target-1', 'tycoons')]]",True,4-Material Conflict,4-17 Coerce,,,,,,
aYixrXcRkfvSpCiMxt70cA4QBBSq-cameo_100.csv_66,"No. 38 sentences Story highlights Appeals court: Judge's impartiality might be in question because of his past jobs Judge was a U.S. prosecutor in Boston when the defendant allegedly was involved in crime Defendant James ""Whitey"" Bulger faces 19 murder charges",No. 38 ,"Story highlights Appeals court: Judge's impartiality might be in question because of his past jobs Judge was a U.S. prosecutor in Boston when the defendant allegedly was involved in crime Defendant James ""Whitey"" Bulger faces 19 murder charges",True,"[('Target-1', 'Judge', 32), ('Action-1', 'impartiality might be in question', 40)]","[[('Target-1', 'Judge'), ('Action-1', 'impartiality might be in question')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,[],[],False,,,,,,,True,"[('Target-1', ""Judge's"", 32), ('Action-1', 'impartiality might be in question', 40), ('Target-1', 'his', 85), ('Target-1', 'Judge', 99)]","[[('Action-1', 'impartiality might be in question'), ('Target-1', 'his')], [('Action-1', 'impartiality might be in question'), ('Target-1', 'Judge')], [('Action-1', 'impartiality might be in question'), ('Target-1', ""Judge's"")]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
a81vbsZ6ecQCr2XTupwHCrifTBS8-cameo_100.csv_67,"No. 16 sentences MINGORA, Pakistan (Reuters) - A suicide bomber killed five people and wounded 40 in an attack on a security forces' convoy in Pakistan's Swat valley on Thursday, officials and witnesses said.",No. 16 ,"MINGORA, Pakistan (Reuters) - A suicide bomber killed five people and wounded 40 in an attack on a security forces' convoy in Pakistan's Swat valley on Thursday, officials and witnesses said.",True,"[('Location', 'MINGORA, Pakistan', 0), ('Source-1', 'suicide bomber', 32), ('Action-1', 'killed', 47), ('Target-1', 'people', 59), ('Action-1', 'wounded', 70), ('Action-1', 'attack', 87), ('Target-1', ""security forces' convoy"", 99), ('Time', 'Thursday', 152), ('Source-2', 'officials and witnesses', 162), ('Action-2', 'said', 186)]","[[('Source-1', 'suicide bomber'), ('Action-1', 'killed')], [('Action-1', 'attack'), ('Source-1', 'suicide bomber')], [('Action-1', 'killed'), ('Target-1', 'people')], [('Action-1', 'wounded'), ('Target-1', 'people')], [('Action-1', 'attack'), ('Target-1', ""security forces' convoy"")], [('Source-2', 'officials and witnesses'), ('Action-2', 'said')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Location', 'MINGORA, Pakistan', 0), ('Source-1', 'suicide bomber', 32), ('Action-1', 'killed', 47), ('Target-1', 'five people', 54), ('Action-1', 'wounded', 70), ('Action-1', 'attack', 87), ('Target-1', ""security forces' convoy"", 99), ('Location', ""Pakistan's Swat valley"", 126), ('Time', 'Thursday', 152), ('Source-2', 'officials and witnesses', 162), ('Action-2', 'said', 186)]","[[('Source-1', 'suicide bomber'), ('Action-1', 'killed')], [('Action-1', 'killed'), ('Target-1', 'five people')], [('Target-1', 'five people'), ('Action-1', 'wounded')], [('Target-1', 'five people'), ('Action-1', 'attack')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Location', 'MINGORA, Pakistan', 0), ('Source-1', 'suicide bomber', 32), ('Action-1', 'killed', 47), ('Target-1', 'people', 59), ('Action-1', 'wounded', 70), ('Action-1', 'attack', 87), ('Target-1', ""security forces' convoy"", 99), ('Location', ""Pakistan's Swat valley"", 126), ('Time', 'Thursday', 152), ('Source-2', 'officials', 162), ('Source-2', 'witnesses', 176), ('Action-2', 'said', 186)]","[[('Source-1', 'suicide bomber'), ('Action-1', 'killed')], [('Source-1', 'suicide bomber'), ('Action-1', 'wounded')], [('Source-1', 'suicide bomber'), ('Action-1', 'attack')], [('Action-1', 'killed'), ('Target-1', 'people')], [('Action-1', 'attack'), ('Target-1', ""security forces' convoy"")], [('Source-2', 'officials'), ('Action-2', 'said')], [('Source-2', 'witnesses'), ('Action-2', 'said')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,False,[],[],,,,,,True,"[('Source-1', 'suicide bomber', 32), ('Action-1', 'killed', 47), ('Target-1', 'people', 59), ('Action-1', 'wounded', 70), ('Action-1', 'attack', 87), ('Target-1', ""security forces' convoy"", 99), ('Location', ""Pakistan's Swat valley"", 126), ('Time', 'Thursday', 152), ('Source-2', 'officials', 162), ('Source-2', 'witnesses', 176), ('Action-2', 'said', 186)]","[[('Source-1', 'suicide bomber'), ('Action-1', 'killed')], [('Source-1', 'suicide bomber'), ('Action-1', 'wounded')], [('Source-1', 'suicide bomber'), ('Action-1', 'attack')], [('Action-1', 'killed'), ('Target-1', 'people')], [('Action-1', 'wounded'), ('Target-1', 'people')], [('Action-1', 'attack'), ('Target-1', ""security forces' convoy"")], [('Source-2', 'officials'), ('Action-2', 'said')], [('Source-2', 'witnesses'), ('Action-2', 'said')]]",True,4-Material Conflict,4-18 Assualt,0-Make a Statement,0-1 Make Public Statement,,,,
acKPY4Sp8WiL1g.Zq_37Ert21E3y-cameo_100.csv_62,"No. 5 sentences The Obama administration has begun discussions with the Senate about whether a bill aimed at forcing China to let its currency rise is ""the right approach"" to the long-running currency issue, a top U.S. official said Tuesday.",No. 5 ,"The Obama administration has begun discussions with the Senate about whether a bill aimed at forcing China to let its currency rise is ""the right approach"" to the long-running currency issue, a top U.S. official said Tuesday.",True,"[('Source-1', 'Obama administration', 4), ('Action-1', 'begun discussions', 29), ('Target-1', 'Senate', 56), ('Action-2', 'forcing', 93), ('Target-1', 'China', 101), ('Source-2', 'top U.S. official', 194), ('Action-3', 'said', 212), ('Time', 'Tuesday', 217)]",[],True,1-Verbal Cooperation,1-4 Consult,3-Verbal Conflict,3-10 Demand,0-Make a Statement,0-1 Make Public Statement,True,"[('Source-1', 'Obama administration', 4), ('Action-1', 'discussions', 35), ('Target-1', 'Senate', 56), ('Action-1', 'forcing', 93), ('Target-2', 'China', 101), ('Source-3', 'U.S. official', 198), ('Action-3', 'said', 212), ('Time', 'Tuesday', 217)]","[[('Source-1', 'Obama administration'), ('Action-1', 'discussions')], [('Action-1', 'discussions'), ('Target-1', 'Senate')], [('Target-1', 'Senate'), ('Action-1', 'forcing')], [('Action-1', 'forcing'), ('Target-2', 'China')]]",True,1-Verbal Cooperation,1-4 Consult,3-Verbal Conflict,3-10 Demand,0-Make a Statement,0-1 Make Public Statement,True,"[('Source-1', 'Obama administration', 4), ('Action-1', 'discussions', 35), ('Target-1', 'Senate', 56), ('Action-2', 'forcing', 93), ('Target-2', 'China', 101), ('Source-3', 'top U.S. official', 194), ('Action-3', 'said', 212), ('Time', 'Tuesday', 217)]","[[('Source-1', 'Obama administration'), ('Action-1', 'discussions')], [('Action-1', 'discussions'), ('Target-1', 'Senate')], [('Action-2', 'forcing'), ('Target-2', 'China')], [('Source-3', 'top U.S. official'), ('Action-3', 'said')], [('Source-1', 'Obama administration'), ('Action-2', 'forcing')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,3-Verbal Conflict,3-10 Demand,0-Make a Statement,0-1 Make Public Statement,False,[],[],,,,,,True,"[('Source-1', 'Obama administration', 4), ('Action-1', 'has begun discussions', 25), ('Target-1', 'Senate', 56), ('Source-2', 'bill', 79), ('Action-2', 'aimed at forcing', 84), ('Target-2', 'China', 101), ('Source-3', 'top U.S. official', 194), ('Action-3', 'said', 212), ('Time', 'Tuesday', 217)]","[[('Source-1', 'Obama administration'), ('Action-1', 'has begun discussions')], [('Action-1', 'has begun discussions'), ('Target-1', 'Senate')], [('Source-2', 'bill'), ('Action-2', 'aimed at forcing')], [('Action-2', 'aimed at forcing'), ('Target-2', 'China')], [('Source-3', 'top U.S. official'), ('Action-3', 'said')]]",True,1-Verbal Cooperation,1-4 Consult,3-Verbal Conflict,3-13 Threaten,0-Make a Statement,0-1 Make Public Statement,,
aEdOkwhYPnxXcRi8JyuPjjUpygIu-cameo_100.csv_63,"No. 20 sentences ""As for requests to share the burden of the reconstruction expenses, I am on the skeptical side, because we have enough sites in our own country that need government assistance,"" Kosachev pointed out.",No. 20 ,"""As for requests to share the burden of the reconstruction expenses, I am on the skeptical side, because we have enough sites in our own country that need government assistance,"" Kosachev pointed out.",True,"[('Source-1', 'Kosachev', 179), ('Action-1', 'pointed out', 188)]","[[('Source-1', 'Kosachev'), ('Action-1', 'pointed out')]]",True,0-Make a Statement,0-1 Make Public Statement,,,,,True,[],[],False,,,,,,,True,"[('Action-1', 'on the skeptical side', 74), ('Source-1', 'Kosachev', 179)]","[[('Source-1', 'Kosachev'), ('Action-1', 'on the skeptical side')]]",True,3-Verbal Conflict,3-12 Reject,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
a8tMGyBftm0dff7JkPJuOYwwmKrK-cameo_100.csv_65,"No. 28 sentences The oil portrait ""Girl from the Sabine Mountains"" shows a peasant woman reclining, closing her eyes and stretching her billowing white sleeves behind her dark hair.",No. 28 ,"The oil portrait ""Girl from the Sabine Mountains"" shows a peasant woman reclining, closing her eyes and stretching her billowing white sleeves behind her dark hair.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aaJzbryOsAyFxS4xfU30r4qUTRDu-cameo_100.csv_61,No. 70 sentences Paris police were astonished to find a car stopped in the middle of Paris's busy ringroad and its driver slumped asleep over the steering wheel on Tuesday night.,No. 70 ,Paris police were astonished to find a car stopped in the middle of Paris's busy ringroad and its driver slumped asleep over the steering wheel on Tuesday night.,True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aAyTnsODdKlteQvMxa0fxCpk9Mfa-cameo_100.csv_64,"No. 93 sentences KOLKO, Philip - Born August 1935, passed away June 27, 2004, after a long and courageous battle against cancer.",No. 93 ,"KOLKO, Philip - Born August 1935, passed away June 27, 2004, after a long and courageous battle against cancer.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
a3Nfwvbk38xsHx22VD_3ukadwEyS-cameo_100.csv_60,"No. 100 sentences ISLAMABAD: The Pakistan Tehreek-e-Insaf Chairman, Imran Khan, on Wednesday ridiculed the former prime minister Nawaz Sharif's call for according him warm welcome upon his return, saying how could a dacoit seek such treatment.",No. 100 ,"ISLAMABAD: The Pakistan Tehreek-e-Insaf Chairman, Imran Khan, on Wednesday ridiculed the former prime minister Nawaz Sharif's call for according him warm welcome upon his return, saying how could a dacoit seek such treatment.",True,"[('Location', 'ISLAMABAD', 0), ('Source-1', 'Pakistan Tehreek-e-Insaf Chairman', 15), ('Time', 'Wednesday', 65), ('Action-1', 'ridiculed', 75), ('Target-1', ""former prime minister Nawaz Sharif's call"", 89)]","[[('Source-1', 'Pakistan Tehreek-e-Insaf Chairman'), ('Action-1', 'ridiculed')], [('Target-1', ""former prime minister Nawaz Sharif's call""), ('Action-1', 'ridiculed')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,[],[],False,,,,,,,True,"[('Location', 'ISLAMABAD', 0), ('Source-1', 'Pakistan Tehreek-e-Insaf Chairman, Imran Khan', 15), ('Time', 'Wednesday', 65), ('Action-1', 'ridiculed', 75), ('Target-1', 'former prime minister Nawaz Sharif', 89)]","[[('Source-1', 'Pakistan Tehreek-e-Insaf Chairman, Imran Khan'), ('Action-1', 'ridiculed')], [('Action-1', 'ridiculed'), ('Target-1', 'former prime minister Nawaz Sharif')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],,,,,,True,"[('Source-1', 'Pakistan Tehreek-e-Insaf Chairman, Imran Khan', 15), ('Time', 'Wednesday', 65), ('Action-1', 'ridiculed', 75), ('Target-1', 'former prime minister Nawaz Sharif', 89)]","[[('Source-1', 'Pakistan Tehreek-e-Insaf Chairman, Imran Khan'), ('Action-1', 'ridiculed')], [('Action-1', 'ridiculed'), ('Target-1', 'former prime minister Nawaz Sharif')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,,
afRsmscxAqlWEy8a0E3Nlm11mqLG-cameo_100.csv_55,"No. 95 sentences Former Trump campaign adviser George Papadopoulos arrives at a closed-door hearing before the House Judiciary and Oversight Committee October 25, 2018 at the Rayburn House Office Building on Capitol Hill in Washington, DC.",No. 95 ,"Former Trump campaign adviser George Papadopoulos arrives at a closed-door hearing before the House Judiciary and Oversight Committee October 25, 2018 at the Rayburn House Office Building on Capitol Hill in Washington, DC.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,"[('Source-1', 'Former Trump campaign adviser George Papadopoulos', 0), ('Action-1', 'hearing before', 75), ('Target-1', 'House Judiciary and Oversight Committee', 94), ('Time', 'October 25, 2018', 134), ('Location', 'Rayburn House Office Building on Capitol Hill in Washington, DC', 158)]","[[('Source-1', 'Former Trump campaign adviser George Papadopoulos'), ('Action-1', 'hearing before')], [('Action-1', 'hearing before'), ('Target-1', 'House Judiciary and Oversight Committee')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,
aXtIzpYCym.iISnbmm8NuBQUJIkq-cameo_100.csv_58,"No. 89 sentences Since coming to power in June of last year, Philippine President Rodrigo Duterte has become one of Asia's most controversial leaders for his strongman politics and inflammatory statements.",No. 89 ,"Since coming to power in June of last year, Philippine President Rodrigo Duterte has become one of Asia's most controversial leaders for his strongman politics and inflammatory statements.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
acLgrxy0BjHHUl6I2cO98HglNg_S-cameo_100.csv_57,"No. 21 sentences May 1, 2013 -- Talk to a teenager of color living in Harlem or the Bronx and chances are they will have a story to tell about life under ""stop and frisk.""",No. 21 ,"May 1, 2013 -- Talk to a teenager of color living in Harlem or the Bronx and chances are they will have a story to tell about life under ""stop and frisk.""",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aXvkwxUDcSiGHvQcQKiRs6CYXuIy-cameo_100.csv_59,"No. 72 sentences In recent months, the UK has been gripped by cases of widespread organised child abuse - in Rotherham, Oxford, Rochdale and even Westminster.",No. 72 ,"In recent months, the UK has been gripped by cases of widespread organised child abuse - in Rotherham, Oxford, Rochdale and even Westminster.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
ah55yyPZuQiLdnJdwRZb8G29mzj4-cameo_100.csv_56,"No. 86 sentences China's former top drug regulator was sentenced to death Tuesday for taking bribes to approve untested medicines, as the country's main quality control agency announced its first recall system targeting unsafe food products.",No. 86 ,"China's former top drug regulator was sentenced to death Tuesday for taking bribes to approve untested medicines, as the country's main quality control agency announced its first recall system targeting unsafe food products.",True,"[('Target-1', ""China's former top drug regulator"", 0), ('Action-1', 'sentenced to death', 38), ('Time', 'Tuesday', 57), ('Action-1', 'for taking bribes to approve untested medicines', 65)]","[[('Target-1', ""China's former top drug regulator""), ('Action-1', 'sentenced to death')], [('Action-1', 'for taking bribes to approve untested medicines'), ('Target-1', ""China's former top drug regulator"")]]",True,4-Material Conflict,4-18 Assualt,,,,,True,"[('Target-1', ""China's former top drug regulator"", 0), ('Location', ""China's"", 0), ('Action-1', 'sentenced to death', 38), ('Time', 'Tuesday', 57), ('Action-1', 'taking bribes to approve untested medicines', 69)]","[[('Target-1', ""China's former top drug regulator""), ('Action-1', 'sentenced to death')], [('Target-1', ""China's former top drug regulator""), ('Action-1', 'taking bribes to approve untested medicines')]]",True,4-Material Conflict,4-18 Assualt,,,,,True,"[('Target-1', ""China's former top drug regulator"", 0), ('Source-1', 'China', 0), ('Location', 'China', 0), ('Action-1', 'sentenced to death', 38), ('Time', 'Tuesday', 57), ('Source-1', 'the country', 117), ('Action-2', 'announced its first recall system targeting unsafe food products', 159)]","[[('Source-1', 'China'), ('Action-1', 'sentenced to death')], [('Source-1', 'the country'), ('Action-1', 'sentenced to death')], [('Action-1', 'sentenced to death'), ('Target-1', ""China's former top drug regulator"")], [('Source-1', 'China'), ('Action-2', 'announced its first recall system targeting unsafe food products')], [('Source-1', 'the country'), ('Action-2', 'announced its first recall system targeting unsafe food products')]]",True,3-Verbal Conflict,3-11 Disapprove,0-Make a Statement,0-1 Make Public Statement,,,False,[],[],,,,,,True,"[('Target-1', ""China's former top drug regulator"", 0), ('Action-1', 'sentenced', 38), ('Time', 'Tuesday', 57), ('Source-2', ""country's main quality control agency"", 121), ('Action-2', 'announced', 159)]","[[('Action-1', 'sentenced'), ('Target-1', ""China's former top drug regulator"")], [('Source-2', ""country's main quality control agency""), ('Action-2', 'announced')]]",True,2-Material Cooperation,4-17 Coerce,0-Make a Statement,0-1 Make Public Statement,,,,
amPm3DPVMsOTrcnOQV3a0TrqoJvC-cameo_100.csv_54,"No. 63 sentences (Reuters) - The FBI is offering a reward of up to $50,000 for information on who placed pipe bombs in the committee headquarters of both major U.S. political parties in Washington.",No. 63 ,"(Reuters) - The FBI is offering a reward of up to $50,000 for information on who placed pipe bombs in the committee headquarters of both major U.S. political parties in Washington.",True,"[('Source-1', 'who placed pipe bombs', 77), ('Target-1', 'committee headquarters of both major U.S. political parties', 106), ('Time', 'Washington', 169)]",[],True,4-Material Conflict,4-18 Assualt,,,,,True,"[('Source-1', 'FBI', 16), ('Action-1', 'offering', 23), ('Action-1', 'reward', 34), ('Action-2', 'information', 62), ('Action-2', 'placed pipe bombs', 81), ('Source-2', 'committee headquarters of both major U.S. political parties', 106), ('Location', 'Washington', 169)]","[[('Source-1', 'FBI'), ('Action-1', 'offering')], [('Source-1', 'FBI'), ('Action-1', 'reward')]]",True,0-Make a Statement,0-2 Appeal,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'FBI', 16), ('Action-1', 'offering a reward', 23), ('Action-2', 'placed pipe bombs', 81), ('Target-2', 'committee headquarters of both major U.S. political parties', 106), ('Location', 'Washington', 169)]","[[('Source-1', 'FBI'), ('Action-1', 'offering a reward')], [('Action-2', 'placed pipe bombs'), ('Target-2', 'committee headquarters of both major U.S. political parties')]]",True,1-Verbal Cooperation,0-2 Appeal,4-Material Conflict,4-18 Assualt,,,False,[],[],,,,,,True,"[('Source-1', 'FBI', 16), ('Action-1', 'offering', 23), ('Source-2', 'who', 77), ('Action-2', 'placed pipe bombs', 81), ('Location', 'committee headquarters', 106), ('Target-2', 'major U.S. political parties', 137)]","[[('Source-1', 'FBI'), ('Action-1', 'offering')], [('Source-2', 'who'), ('Action-2', 'placed pipe bombs')], [('Action-2', 'placed pipe bombs'), ('Target-2', 'major U.S. political parties')]]",True,1-Verbal Cooperation,1-3 Express Intent to Coop,3-Verbal Conflict,3-13 Threaten,,,,
avGardplC8_A3yarO9pu6LgwK2oS-cameo_100.csv_53,No. 96 sentences A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,No. 96 ,A huge defunct German satellite is expected to plunge to Earth this weekend and the Federal Aviation Administration wants pilots to be on the lookout for any space debris from the falling spacecraft.,True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
a.OcoCrfrC44p9lm24VkX5f5SuRe-cameo_100.csv_51,"No. 22 sentences RADOVICH, Raymund - Passed away peacefully on September 24, 2003 at the age of 82, after a short bout of pneumonia.",No. 22 ,"RADOVICH, Raymund - Passed away peacefully on September 24, 2003 at the age of 82, after a short bout of pneumonia.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
aHICZqfv2hlzDaE3Zc8HZDwiqbGe-cameo_100.csv_50,"No. 94 sentences ""They [messages with the proposal] were dispatched on Friday, by the end of the day,"" Peskov commented.",No. 94 ,"""They [messages with the proposal] were dispatched on Friday, by the end of the day,"" Peskov commented.",True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,False,[],[],,,,,,True,[],[],False,,,,,,,,
afVbORZTZPjeJKwqiPzixYoRy3yG-cameo_100.csv_52,No. 24 sentences Outgoing Public Advocate Letitia James took a parting shot at the de Blasio administration on Wednesday by dubbing the city's Housing Authority the worst landlord of the year.,No. 24 ,Outgoing Public Advocate Letitia James took a parting shot at the de Blasio administration on Wednesday by dubbing the city's Housing Authority the worst landlord of the year.,True,"[('Source-1', 'Public Advocate', 9), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94)]",[],False,3-Verbal Conflict,3-11 Disapprove,,,,,True,"[('Source-1', 'Public Advocate', 9), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94), ('Action-1', ""dubbing the city's Housing Authority"", 107)]","[[('Source-1', 'Public Advocate'), ('Action-1', 'took a parting shot')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,"[('Source-1', 'Outgoing Public Advocate Letitia James', 0), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94), ('Action-1', ""dubbing the city's Housing Authority the worst landlord of the year"", 107)]","[[('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', 'took a parting shot')], [('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', ""dubbing the city's Housing Authority the worst landlord of the year"")], [('Action-1', 'took a parting shot'), ('Target-1', 'de Blasio administration')], [('Action-1', ""dubbing the city's Housing Authority the worst landlord of the year""), ('Target-1', 'de Blasio administration')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],,,,,,True,"[('Source-1', 'Outgoing Public Advocate Letitia James', 0), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94)]","[[('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', 'took a parting shot')], [('Action-1', 'took a parting shot'), ('Target-1', 'de Blasio administration')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,,
