ids,plain_text,No,sentences,anncomplete_1,entities_1,relations_1,1_Relevant_1,Action1-PentaClass_1,Action1_CAMEO_1,Action2-PentaClass_1,Action2_CAMEO_1,Action3-PentaClass_1,Action3_CAMEO_1,anncomplete_2,entities_2,relations_2,anncomplete_3,entities_3,relations_3,1_Relevant_3,Action1-PentaClass_3,Action1_CAMEO_3,Action2-PentaClass_3,Action2_CAMEO_3,Action3_CAMEO_3,Action3-PentaClass_3,anncomplete_4,entities_4,relations_4,1_Relevant_4,Action1-PentaClass_4,Action1_CAMEO_4,Action2-PentaClass_4,Action2_CAMEO_4,Action3-PentaClass_4,Action3_CAMEO_4,anncomplete_5,entities_5,relations_5,1_Relevant_5,Action1-PentaClass_5,Action1_CAMEO_5,Action2-PentaClass_5,Action2_CAMEO_5,Action3-PentaClass_5,Action3_CAMEO_5,Action4-PentaClass_5,Action4_CAMEO_5
aIFDlE0RzC9r1LhhjtUSMFJRISW4-cameo_100.csv_85,No. 80 sentences Japan and France signed a pact on defense equipment transfers Friday at a meeting of their foreign and defense chiefs in Tokyo to strengthen bilateral ties in security.,No. 80 ,Japan and France signed a pact on defense equipment transfers Friday at a meeting of their foreign and defense chiefs in Tokyo to strengthen bilateral ties in security.,True,"[('Source-1', 'Japan', 0), ('Source-2', 'France', 10), ('Action-1', 'signed a pact on defense equipment transfers', 17), ('Time', 'Friday', 62), ('Location', 'Tokyo', 121)]","[[('Source-1', 'Japan'), ('Action-1', 'signed a pact on defense equipment transfers')], [('Source-2', 'France'), ('Action-1', 'signed a pact on defense equipment transfers')]]",True,1-Verbal Cooperation,1-5 Engage in Dip Coop,,,,,False,[],[],True,"[('Source-1', 'Japan', 0), ('Target-1', 'France', 10), ('Action-1', 'signed a pact on defense equipment transfers', 17), ('Time', 'Friday', 62), ('Location', 'Tokyo', 121)]","[[('Source-1', 'Japan'), ('Action-1', 'signed a pact on defense equipment transfers')], [('Action-1', 'signed a pact on defense equipment transfers'), ('Target-1', 'France')]]",True,1-Verbal Cooperation,1-5 Engage in Dip Coop,,,,,True,"[('Source-1', 'Japan', 0), ('Target-1', 'France', 10), ('Action-1', 'signed a pact on defense equipment transfers', 17), ('Time', 'Friday', 62), ('Location', 'Tokyo', 121)]","[[('Source-1', 'Japan'), ('Action-1', 'signed a pact on defense equipment transfers')], [('Action-1', 'signed a pact on defense equipment transfers'), ('Target-1', 'France')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,True,"[('Source-1', 'Japan', 0), ('Target-1', 'France', 10), ('Action-1', 'signed a pact', 17), ('Time', 'Friday', 62), ('Location', 'Tokyo', 121)]","[[('Source-1', 'Japan'), ('Action-1', 'signed a pact')], [('Action-1', 'signed a pact'), ('Target-1', 'France')]]",True,1-Verbal Cooperation,1-5 Engage in Dip Coop,,,,,,
ah55yyPZuQiLdnJdwRZb8G29mzj4-cameo_100.csv_81,"No. 86 sentences China's former top drug regulator was sentenced to death Tuesday for taking bribes to approve untested medicines, as the country's main quality control agency announced its first recall system targeting unsafe food products.",No. 86 ,"China's former top drug regulator was sentenced to death Tuesday for taking bribes to approve untested medicines, as the country's main quality control agency announced its first recall system targeting unsafe food products.",True,"[('Target-1', ""China's former top drug regulator"", 0), ('Action-1', 'sentenced to death', 38), ('Time', 'Tuesday', 57), ('Action-1', 'for taking bribes to approve untested medicines', 65)]","[[('Target-1', ""China's former top drug regulator""), ('Action-1', 'sentenced to death')], [('Target-1', ""China's former top drug regulator""), ('Action-1', 'for taking bribes to approve untested medicines')]]",True,4-Material Conflict,4-18 Assualt,,,,,False,[],[],True,"[('Target-1', ""China's former top drug regulator"", 0), ('Source-1', 'China', 0), ('Location', 'China', 0), ('Action-1', 'sentenced to death', 38), ('Time', 'Tuesday', 57), ('Action-2', 'announced its first recall system targeting unsafe food products', 159)]","[[('Source-1', 'China'), ('Action-1', 'sentenced to death')], [('Action-1', 'sentenced to death'), ('Target-1', ""China's former top drug regulator"")], [('Source-1', 'China'), ('Action-2', 'announced its first recall system targeting unsafe food products')]]",True,3-Verbal Conflict,3-11 Disapprove,0-Make a Statement,0-1 Make Public Statement,,,True,"[('Target-1', ""China's former top drug regulator"", 0), ('Source-2', ""China's former top drug regulator"", 0), ('Action-1', 'sentenced to death', 38), ('Time', 'Tuesday', 57), ('Action-2', 'taking bribes to approve untested medicines', 69)]","[[('Action-1', 'sentenced to death'), ('Target-1', ""China's former top drug regulator"")], [('Action-2', 'taking bribes to approve untested medicines'), ('Source-2', ""China's former top drug regulator"")]]",True,4-Material Conflict,4-18 Assualt,3-Verbal Conflict,3-11 Disapprove,,,True,"[('Target-1', ""China's former top drug regulator"", 0), ('Action-1', 'was sentenced to death', 34), ('Time', 'Tuesday', 57), ('Source-2', ""country's main quality control agency"", 121), ('Action-2', 'announced', 159)]","[[('Action-1', 'was sentenced to death'), ('Target-1', ""China's former top drug regulator"")], [('Source-2', ""country's main quality control agency""), ('Action-2', 'announced')]]",True,4-Material Conflict,4-17 Coerce,0-Make a Statement,0-1 Make Public Statement,,,,
aPH7sKxlImrk2R6R1dBL9wIqpW0e-cameo_100.csv_78,"No. 46 sentences TAIPEI: Taiwan prosecutors said a man from China, reportedly a recent graduate from one of the island's top universities, was detained on Friday on suspicion of espionage, as officials warn of growing China spy threats.",No. 46 ,"TAIPEI: Taiwan prosecutors said a man from China, reportedly a recent graduate from one of the island's top universities, was detained on Friday on suspicion of espionage, as officials warn of growing China spy threats.",True,"[('Source-1', 'Taiwan prosecutors', 8), ('Action-1', 'said', 27), ('Target-1', 'man from China', 34), ('Action-2', 'detained', 126), ('Time', 'Friday', 138), ('Action-2', 'suspicion of espionage', 148), ('Source-2', 'officials', 175), ('Action-3', 'warn of growing China spy threats', 185)]","[[('Source-1', 'Taiwan prosecutors'), ('Action-1', 'said')], [('Action-3', 'warn of growing China spy threats'), ('Source-2', 'officials')], [('Target-1', 'man from China'), ('Action-2', 'suspicion of espionage')], [('Action-2', 'detained'), ('Target-1', 'man from China')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,0-Make a Statement,0-1 Make Public Statement,False,[],[],True,"[('Location', 'TAIPEI', 0), ('Source-1', 'Taiwan prosecutors', 8), ('Action-1', 'said', 27), ('Target-1', 'a man from China', 32), ('Action-2', 'detained', 126), ('Time', 'Friday', 138), ('Action-3', 'suspicion of espionage', 148)]","[[('Source-1', 'Taiwan prosecutors'), ('Action-1', 'said')], [('Source-1', 'Taiwan prosecutors'), ('Action-2', 'detained')], [('Source-1', 'Taiwan prosecutors'), ('Action-3', 'suspicion of espionage')], [('Action-2', 'detained'), ('Target-1', 'a man from China')], [('Action-3', 'suspicion of espionage'), ('Target-1', 'a man from China')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,3-11 Disapprove,3-Verbal Conflict,True,"[('Location', 'TAIPEI', 0), ('Source-1', 'Taiwan prosecutors', 8), ('Action-1', 'said', 27), ('Target-2', 'a man from China', 32), ('Action-2', 'detained', 126), ('Time', 'Friday', 138), ('Source-3', 'officials', 175), ('Action-3', 'warn of growing China spy threats', 185)]","[[('Source-1', 'Taiwan prosecutors'), ('Action-1', 'said')], [('Action-2', 'detained'), ('Target-2', 'a man from China')], [('Source-3', 'officials'), ('Action-3', 'warn of growing China spy threats')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,3-Verbal Conflict,3-13 Threaten,True,"[('Location', 'TAIPEI', 0), ('Source-1', 'Taiwan prosecutors', 8), ('Action-1', 'said', 27), ('Target-2', 'man from China', 34), ('Action-2', 'was detained', 122), ('Time', 'Friday', 138), ('Source-3', 'officials', 175), ('Action-3', 'warn', 185)]","[[('Source-1', 'Taiwan prosecutors'), ('Action-1', 'said')], [('Action-2', 'was detained'), ('Target-2', 'man from China')], [('Source-3', 'officials'), ('Action-3', 'warn')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-17 Coerce,0-Make a Statement,0-1 Make Public Statement,,
aF2ZyB36lk9kT.AUIdISFv9HsFs8-cameo_100.csv_75,"No. 90 sentences In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",No. 90 ,"In the years following the bitter Civil War, a former Union general took a holiday originated by former Confederates and helped spread it across the entire country.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
akfq1NQ.fNhk.AAQ2N.OuYnWoQB8-cameo_100.csv_79,"No. 88 sentences In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",No. 88 ,"In the United Kingdom, novel coronavirus has killed six people as of Tuesday, with another 370 infected and quarantined.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aPUBsEbt7ZQcRjd0H8k2KvHKGYZa-cameo_100.csv_76,No. 44 sentences A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,No. 44 ,A stowaway who sneaked aboard a Japan-bound jet from Kennedy Airport apparently froze to death inside his hiding spot in the plane's landing-gear compartment.,True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
arhBYNVMRBdbUoj35A4VF1WYYj5C-cameo_100.csv_72,No. 78 sentences Tokyo prosecutors on Monday indicted two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan in 2019.,No. 78 ,Tokyo prosecutors on Monday indicted two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan in 2019.,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans', 41), ('Action-2', 'accused', 51), ('Action-3', 'helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan', 62), ('Time', 'Japan', 147), ('Time', '2019', 156)]",[],True,4-Material Conflict,4-17 Coerce,2-Material Cooperation,2-6 Engage in Material Coop,2-Material Cooperation,2-7 Provide Aid,False,[],[],True,"[('Source-1', 'Tokyo prosecutors', 0), ('Location', 'Tokyo', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan', 41), ('Action-2', 'accused', 51)]","[[('Source-1', 'Tokyo prosecutors'), ('Action-1', 'indicted')], [('Action-1', 'indicted'), ('Target-1', 'Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan')], [('Source-1', 'Tokyo prosecutors'), ('Action-2', 'accused')], [('Action-2', 'accused'), ('Target-1', 'Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape from Japan')]]",True,3-Verbal Conflict,3-11 Disapprove,3-Verbal Conflict,3-11 Disapprove,,,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape', 37), ('Location', 'Japan', 147), ('Time', '2019', 156)]","[[('Source-1', 'Tokyo prosecutors'), ('Action-1', 'indicted')], [('Action-1', 'indicted'), ('Target-1', 'two Americans accused of helping former Nissan boss Carlos Ghosn jump bail and make his audacious escape')]]",True,4-Material Conflict,4-17 Coerce,,,,,True,"[('Source-1', 'Tokyo prosecutors', 0), ('Time', 'Monday', 21), ('Action-1', 'indicted', 28), ('Target-1', 'Americans', 41), ('Source-2', 'Americans', 41), ('Action-2', 'helping', 62), ('Target-2', 'former Nissan boss Carlos Ghosn', 70), ('Location', 'Japan', 147), ('Time', '2019', 156)]","[[('Source-1', 'Tokyo prosecutors'), ('Action-1', 'indicted')], [('Action-1', 'indicted'), ('Target-1', 'Americans')], [('Source-2', 'Americans'), ('Action-2', 'helping')], [('Action-2', 'helping'), ('Target-2', 'former Nissan boss Carlos Ghosn')]]",True,4-Material Conflict,4-17 Coerce,2-Material Cooperation,2-7 Provide Aid,,,,
aJXV2NBVLJcI0P90NjbSAcYNCg9C-cameo_100.csv_77,No. 14 sentences CUTTACK: The National Human Rights Commission (NHRC) has directed the state government to order a Crime Branch (CB) probe into murder of undertrial prisoner (UTP) Kalia Swain.,No. 14 ,CUTTACK: The National Human Rights Commission (NHRC) has directed the state government to order a Crime Branch (CB) probe into murder of undertrial prisoner (UTP) Kalia Swain.,True,"[('Source-1', 'National Human Rights Commission', 13), ('Source-1', 'NHRC', 47), ('Action-1', 'directed', 57), ('Target-1', 'state government', 70), ('Target-2', 'probe into murder of undertrial prisoner (UTP) Kalia Swain', 116)]","[[('Source-1', 'National Human Rights Commission'), ('Action-1', 'directed')], [('Target-1', 'state government'), ('Action-1', 'directed')], [('Target-2', 'probe into murder of undertrial prisoner (UTP) Kalia Swain'), ('Action-1', 'directed')]]",True,3-Verbal Conflict,3-10 Demand,3-Verbal Conflict,3-9 Investigate,,,False,[],[],True,"[('Location', 'CUTTACK', 0), ('Source-1', 'The National Human Rights Commission', 9), ('Action-1', 'order a Crime Branch (CB) probe', 90), ('Action-2', 'murder', 127), ('Target-2', 'undertrial prisoner (UTP) Kalia Swain', 137)]","[[('Source-1', 'The National Human Rights Commission'), ('Action-1', 'order a Crime Branch (CB) probe')], [('Action-2', 'murder'), ('Target-2', 'undertrial prisoner (UTP) Kalia Swain')]]",True,3-Verbal Conflict,3-9 Investigate,4-Material Conflict,4-18 Assualt,,,True,"[('Location', 'CUTTACK', 0), ('Source-1', 'The National Human Rights Commission (NHRC)', 9), ('Action-1', 'directed', 57), ('Target-1', 'state government', 70), ('Action-2', 'murder', 127), ('Target-2', 'undertrial prisoner (UTP) Kalia Swain', 137)]","[[('Source-1', 'The National Human Rights Commission (NHRC)'), ('Action-1', 'directed')], [('Action-1', 'directed'), ('Target-1', 'state government')], [('Action-2', 'murder'), ('Target-2', 'undertrial prisoner (UTP) Kalia Swain')]]",True,1-Verbal Cooperation,1-4 Consult,4-Material Conflict,4-19 Fight,,,True,"[('Source-1', 'National Human Rights Commission', 13), ('Action-1', 'has directed', 53), ('Target-1', 'state government', 70), ('Source-2', 'state government', 70), ('Action-2', 'probe', 116), ('Action-3', 'murder', 127), ('Target-3', 'undertrial prisoner (UTP) Kalia Swain', 137)]","[[('Source-1', 'National Human Rights Commission'), ('Action-1', 'has directed')], [('Action-3', 'murder'), ('Target-3', 'undertrial prisoner (UTP) Kalia Swain')], [('Action-1', 'has directed'), ('Source-2', 'state government')], [('Action-2', 'probe'), ('Target-3', 'undertrial prisoner (UTP) Kalia Swain')]]",True,3-Verbal Conflict,3-10 Demand,3-Verbal Conflict,3-9 Investigate,4-Material Conflict,4-18 Assualt,,
aZqkncwPk5hqZfE5TFThBNyM1Psu-cameo_100.csv_73,"No. 13 sentences BLUE SPRINGS, Mo. (AP) -- A suburban Kansas City man has died of his injuries in a shooting at a Blue Springs home that also killed a woman, police said.",No. 13 ,"BLUE SPRINGS, Mo. (AP) -- A suburban Kansas City man has died of his injuries in a shooting at a Blue Springs home that also killed a woman, police said.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
axVoBNO0ZMStD6ZoVOgLRzVo.h3O-cameo_100.csv_70,"No. 40 sentences The family of Woolwich murder suspect Michael Adebolajo have broken their silence, issuing a statement in which they condemned acts of terror and religious violence and sent their ""heartfelt condolences"" to the family of Lee Rigby.",No. 40 ,"The family of Woolwich murder suspect Michael Adebolajo have broken their silence, issuing a statement in which they condemned acts of terror and religious violence and sent their ""heartfelt condolences"" to the family of Lee Rigby.",True,[],[],False,,,,,,,False,[],[],True,"[('Source-1', 'The family of Woolwich murder suspect Michael Adebolajo', 0), ('Action-1', 'issuing a statement in which they condemned acts of terror and religious violence', 83), ('Action-2', 'sent their ""heartfelt condolences""', 169), ('Target-2', 'the family of Lee Rigby', 207)]","[[('Source-1', 'The family of Woolwich murder suspect Michael Adebolajo'), ('Action-1', 'issuing a statement in which they condemned acts of terror and religious violence')], [('Action-2', 'sent their ""heartfelt condolences""'), ('Target-2', 'the family of Lee Rigby')], [('Source-1', 'The family of Woolwich murder suspect Michael Adebolajo'), ('Action-2', 'sent their ""heartfelt condolences""')]]",True,0-Make a Statement,0-1 Make Public Statement,0-Make a Statement,0-1 Make Public Statement,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
afVbORZTZPjeJKwqiPzixYoRy3yG-cameo_100.csv_71,No. 24 sentences Outgoing Public Advocate Letitia James took a parting shot at the de Blasio administration on Wednesday by dubbing the city's Housing Authority the worst landlord of the year.,No. 24 ,Outgoing Public Advocate Letitia James took a parting shot at the de Blasio administration on Wednesday by dubbing the city's Housing Authority the worst landlord of the year.,True,"[('Source-1', 'Public Advocate', 9), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94)]","[[('Source-1', 'Public Advocate'), ('Action-1', 'took a parting shot')], [('Target-1', 'de Blasio administration'), ('Action-1', 'took a parting shot')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,False,[],[],True,"[('Source-1', 'Outgoing Public Advocate Letitia James', 0), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94), ('Action-1', ""dubbing the city's Housing Authority the worst landlord of the year"", 107)]","[[('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', 'took a parting shot')], [('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', ""dubbing the city's Housing Authority the worst landlord of the year"")], [('Action-1', 'took a parting shot'), ('Target-1', 'de Blasio administration')], [('Action-1', ""dubbing the city's Housing Authority the worst landlord of the year""), ('Target-1', 'de Blasio administration')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,"[('Source-1', 'Outgoing Public Advocate Letitia James', 0), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94)]","[[('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', 'took a parting shot')], [('Action-1', 'took a parting shot'), ('Target-1', 'de Blasio administration')]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,True,"[('Source-1', 'Outgoing Public Advocate Letitia James', 0), ('Action-1', 'took a parting shot', 39), ('Target-1', 'de Blasio administration', 66), ('Time', 'Wednesday', 94), ('Action-1', 'dubbing', 107), ('Target-1', ""city's Housing Authority"", 119)]","[[('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', 'took a parting shot')], [('Source-1', 'Outgoing Public Advocate Letitia James'), ('Action-1', 'dubbing')], [('Action-1', 'took a parting shot'), ('Target-1', 'de Blasio administration')], [('Action-1', 'dubbing'), ('Target-1', ""city's Housing Authority"")]]",True,3-Verbal Conflict,3-11 Disapprove,,,,,,
acLgrxy0BjHHUl6I2cO98HglNg_S-cameo_100.csv_67,"No. 21 sentences May 1, 2013 -- Talk to a teenager of color living in Harlem or the Bronx and chances are they will have a story to tell about life under ""stop and frisk.""",No. 21 ,"May 1, 2013 -- Talk to a teenager of color living in Harlem or the Bronx and chances are they will have a story to tell about life under ""stop and frisk.""",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
aFgj6sjIVzk84X8IEXhi6oUZYI3G-cameo_100.csv_69,"No. 26 sentences 'People with dead-like faces are sitting along the former streets on bundles,' he said.",No. 26 ,"'People with dead-like faces are sitting along the former streets on bundles,' he said.",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,[],[],False,,,,,,,,
av3eRZnLyNVafprU__fKsw9fao.C-cameo_100.csv_64,"No. 3 sentences  An all-girls robotics team from Afghanistan selected for an international robotics competition in Washington, D.C. this month will have to watch their robot compete from afar after its members were denied visas by the U.S. State Department.",No. 3 ," An all-girls robotics team from Afghanistan selected for an international robotics competition in Washington, D.C. this month will have to watch their robot compete from afar after its members were denied visas by the U.S. State Department.",True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Action-1', 'denied visas', 199), ('Source-1', 'U.S. State Department', 219)]","[[('Source-1', 'U.S. State Department'), ('Action-1', 'denied visas')], [('Target-1', 'all-girls robotics team from Afghanistan'), ('Action-1', 'denied visas')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,False,[],[],True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Action-1', 'denied visas', 199), ('Source-1', 'U.S. State Department', 219)]","[[('Source-1', 'U.S. State Department'), ('Action-1', 'denied visas')], [('Action-1', 'denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Action-1', 'denied visas', 199), ('Source-1', 'U.S. State Department.', 219)]","[[('Source-1', 'U.S. State Department.'), ('Action-1', 'denied visas')], [('Action-1', 'denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,3-Verbal Conflict,3-16 Reduce Relations,,,,,True,"[('Target-1', 'all-girls robotics team from Afghanistan', 4), ('Time', 'this month', 116), ('Action-1', 'were denied visas', 194), ('Source-1', 'U.S. State Department', 219)]","[[('Source-1', 'U.S. State Department'), ('Action-1', 'were denied visas')], [('Action-1', 'were denied visas'), ('Target-1', 'all-girls robotics team from Afghanistan')]]",True,3-Verbal Conflict,3-12 Reject,,,,,,
aOiIttcBXS9fo9X75l2uUASq0jiK-cameo_100.csv_66,"No. 23 sentences In a long-awaited speech on his new Afghan strategy, US President Barack Obama said he would send an additional 30,000 troops to Afghanistan in the coming months.",No. 23 ,"In a long-awaited speech on his new Afghan strategy, US President Barack Obama said he would send an additional 30,000 troops to Afghanistan in the coming months.",True,"[('Source-1', 'US President Barack Obama', 53), ('Action-1', 'said', 79), ('Action-2', 'send an additional 30,000 troops', 93), ('Target-1', 'Afghanistan', 129)]","[[('Source-1', 'US President Barack Obama'), ('Action-1', 'said')], [('Source-1', 'US President Barack Obama'), ('Action-2', 'send an additional 30,000 troops')], [('Target-1', 'Afghanistan'), ('Action-2', 'send an additional 30,000 troops')]]",True,0-Make a Statement,0-1 Make Public Statement,1-Verbal Cooperation,1-3 Express Intent to Coop,,,False,[],[],True,"[('Source-1', 'US President Barack Obama', 53), ('Action-1', 'said', 79), ('Action-2', 'send an additional 30,000 troops', 93), ('Target-1', 'Afghanistan', 129), ('Time', 'coming months', 148)]","[[('Source-1', 'US President Barack Obama'), ('Action-1', 'said')], [('Source-1', 'US President Barack Obama'), ('Action-2', 'send an additional 30,000 troops')], [('Action-2', 'send an additional 30,000 troops'), ('Target-1', 'Afghanistan')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-15 Exhibit Force Posture,,,True,"[('Source-1', 'US President Barack Obama', 53), ('Source-2', 'US', 53), ('Action-1', 'said', 79), ('Action-2', 'send', 93), ('Target-2', 'additional 30,000 troops to Afghanistan', 101), ('Time', 'coming months', 148)]","[[('Source-1', 'US President Barack Obama'), ('Action-1', 'said')], [('Source-2', 'US'), ('Action-2', 'send')], [('Action-2', 'send'), ('Target-2', 'additional 30,000 troops to Afghanistan')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-15 Exhibit Force Posture,,,True,"[('Source-1', 'US President Barack Obama', 53), ('Action-1', 'said', 79), ('Action-2', 'would send', 87), ('Target-2', 'Afghanistan', 129), ('Time', 'in the coming months', 141)]","[[('Source-1', 'US President Barack Obama'), ('Action-1', 'said')], [('Action-2', 'would send'), ('Target-2', 'Afghanistan')], [('Source-1', 'US President Barack Obama'), ('Action-2', 'would send')]]",True,0-Make a Statement,0-1 Make Public Statement,1-Verbal Cooperation,1-3 Express Intent to Coop,,,,
akSCs1JfEqmqhdU_k0Pt0L8iAznS-cameo_100.csv_65,No. 15 sentences The French Defence Minister says two French journalists who were abducted in Syria in June are alive.,No. 15 ,The French Defence Minister says two French journalists who were abducted in Syria in June are alive.,True,"[('Source-1', 'French Defence Minister', 4), ('Action-1', 'says', 28), ('Target-1', 'French journalists', 37), ('Action-2', 'abducted', 65), ('Location', 'Syria', 77), ('Time', 'June', 86)]",[],True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,False,[],[],True,"[('Source-1', 'French Defence Minister', 4), ('Action-1', 'says', 28), ('Target-1', 'French journalists', 37), ('Action-2', 'abducted', 65), ('Location', 'Syria', 77), ('Time', 'June', 86)]","[[('Source-1', 'French Defence Minister'), ('Action-1', 'says')], [('Action-2', 'abducted'), ('Target-1', 'French journalists')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,True,"[('Source-1', 'French Defence Minister', 4), ('Action-1', 'says', 28), ('Target-2', 'two French journalists', 33), ('Action-2', 'abducted', 65), ('Location', 'Syria', 77), ('Time', 'June', 86)]","[[('Source-1', 'French Defence Minister'), ('Action-1', 'says')], [('Target-2', 'two French journalists'), ('Action-2', 'abducted')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-19 Fight,,,True,"[('Source-1', 'French Defence Minister', 4), ('Action-1', 'says', 28), ('Target-2', 'French journalists', 37), ('Action-2', 'abducted', 65), ('Location', 'Syria', 77), ('Time', 'June', 86)]","[[('Source-1', 'French Defence Minister'), ('Action-1', 'says')], [('Action-2', 'abducted'), ('Target-2', 'French journalists')]]",True,0-Make a Statement,0-1 Make Public Statement,4-Material Conflict,4-18 Assualt,,,,
aoCd5eTMl39huFdkU_oLc3oN733S-cameo_100.csv_63,"No. 17 sentences BERLIN (Reuters) - Former finance minister Wolfgang Schaeuble was elected speaker of Germany's lower house of parliament on Tuesday, tasked with keeping order in a body where decades of conciliatory conventions are under threat from the arrival of the far",No. 17 ,"BERLIN (Reuters) - Former finance minister Wolfgang Schaeuble was elected speaker of Germany's lower house of parliament on Tuesday, tasked with keeping order in a body where decades of conciliatory conventions are under threat from the arrival of the far",True,[],[],False,,,,,,,False,[],[],True,[],[],False,,,,,,,True,[],[],False,,,,,,,True,"[('Target-1', 'Former finance minister Wolfgang Schaeuble', 19), ('Action-1', 'was elected', 62), ('Time', 'Tuesday', 124)]","[[('Action-1', 'was elected'), ('Target-1', 'Former finance minister Wolfgang Schaeuble')]]",True,2-Material Cooperation,2-6 Engage in Material Coop,,,,,,
